[09:06:03] [main/INFO] (FabricLoader) Loading for game Minecraft 1.16.5
[09:06:03] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar
[09:06:03] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/Users/ozheng/.gradle/caches/fabric-loom/1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2/minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar to classpath.
[09:06:03] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/build/resources/main/
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-containers-v0/0.1.8+045df74f3a/fabric-containers-v0-0.1.8+045df74f3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-key-binding-api-v1/1.0.1+730711c63a/fabric-key-binding-api-v1-1.0.1+730711c63a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-networking-v0/0.1.10+e00ecb5f3a/fabric-networking-v0-0.1.10+e00ecb5f3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-structure-api-v1/1.1.0+f8ac1db23a/fabric-structure-api-v1-1.1.0+f8ac1db23a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-networking-blockentity-v0/0.2.5+b50ffc7b3a/fabric-networking-blockentity-v0-0.2.5+b50ffc7b3a.jar as ModCandidate{fabric-networking-blockentity-v0@0.2.5+b50ffc7b3a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-networking-blockentity-v0@0.2.5+b50ffc7b3a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-networking-blockentity-v0/0.2.5+b50ffc7b3a/fabric-networking-blockentity-v0-0.2.5+b50ffc7b3a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-keybindings-v0/0.2.0+3fa9f7c53a/fabric-keybindings-v0-0.2.0+3fa9f7c53a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-game-rule-api-v1/1.0.3+a4467d2a3a/fabric-game-rule-api-v1-1.0.3+a4467d2a3a.jar as ModCandidate{fabric-game-rule-api-v1@1.0.3+a4467d2a3a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-game-rule-api-v1@1.0.3+a4467d2a3a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-game-rule-api-v1/1.0.3+a4467d2a3a/fabric-game-rule-api-v1-1.0.3+a4467d2a3a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-mining-levels-v0/0.1.2+b764ce993a/fabric-mining-levels-v0-0.1.2+b764ce993a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-keybindings-v0/0.2.0+3fa9f7c53a/fabric-keybindings-v0-0.2.0+3fa9f7c53a.jar as ModCandidate{fabric-keybindings-v0@0.2.0+3fa9f7c53a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-keybindings-v0@0.2.0+3fa9f7c53a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-keybindings-v0/0.2.0+3fa9f7c53a/fabric-keybindings-v0-0.2.0+3fa9f7c53a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-resource-loader-v0/0.3.1+facf3bbf3a/fabric-resource-loader-v0-0.3.1+facf3bbf3a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-blockrenderlayer-v1/1.1.4+c6a8ea893a/fabric-blockrenderlayer-v1-1.1.4+c6a8ea893a.jar as ModCandidate{fabric-blockrenderlayer-v1@1.1.4+c6a8ea893a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-blockrenderlayer-v1@1.1.4+c6a8ea893a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-blockrenderlayer-v1/1.1.4+c6a8ea893a/fabric-blockrenderlayer-v1-1.1.4+c6a8ea893a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-lifecycle-events-v1/1.2.0+74cc3b203a/fabric-lifecycle-events-v1-1.2.0+74cc3b203a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-mining-levels-v0/0.1.2+b764ce993a/fabric-mining-levels-v0-0.1.2+b764ce993a.jar as ModCandidate{fabric-mining-levels-v0@0.1.2+b764ce993a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-mining-levels-v0@0.1.2+b764ce993a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-mining-levels-v0/0.1.2+b764ce993a/fabric-mining-levels-v0-0.1.2+b764ce993a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-api-v1/0.3.3+a4467d2a3a/fabric-renderer-api-v1-0.3.3+a4467d2a3a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-resource-loader-v0/0.3.1+facf3bbf3a/fabric-resource-loader-v0-0.3.1+facf3bbf3a.jar as ModCandidate{fabric-resource-loader-v0@0.3.1+facf3bbf3a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-resource-loader-v0@0.3.1+facf3bbf3a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-resource-loader-v0/0.3.1+facf3bbf3a/fabric-resource-loader-v0-0.3.1+facf3bbf3a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-content-registries-v0/0.1.9+059ea8663a/fabric-content-registries-v0-0.1.9+059ea8663a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-lifecycle-events-v1/1.2.0+74cc3b203a/fabric-lifecycle-events-v1-1.2.0+74cc3b203a.jar as ModCandidate{fabric-lifecycle-events-v1@1.2.0+74cc3b203a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-lifecycle-events-v1@1.2.0+74cc3b203a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-lifecycle-events-v1/1.2.0+74cc3b203a/fabric-lifecycle-events-v1-1.2.0+74cc3b203a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-crash-report-info-v1/0.1.2+b7f9825d3a/fabric-crash-report-info-v1-0.1.2+b7f9825d3a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-api-v1/0.3.3+a4467d2a3a/fabric-renderer-api-v1-0.3.3+a4467d2a3a.jar as ModCandidate{fabric-renderer-api-v1@0.3.3+a4467d2a3a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-renderer-api-v1@0.3.3+a4467d2a3a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-api-v1/0.3.3+a4467d2a3a/fabric-renderer-api-v1-0.3.3+a4467d2a3a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-loader/0.11.3/fabric-loader-0.11.3.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-content-registries-v0/0.1.9+059ea8663a/fabric-content-registries-v0-0.1.9+059ea8663a.jar as ModCandidate{fabric-content-registries-v0@0.1.9+059ea8663a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-content-registries-v0@0.1.9+059ea8663a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-content-registries-v0/0.1.9+059ea8663a/fabric-content-registries-v0-0.1.9+059ea8663a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-registries-v1/2.2.0+f8ac1db23a/fabric-renderer-registries-v1-2.2.0+f8ac1db23a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-v0/1.1.1+f8ac1db23a/fabric-rendering-v0-1.1.1+f8ac1db23a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-tag-extensions-v0/1.0.3+ac8e8c593a/fabric-tag-extensions-v0-1.0.3+ac8e8c593a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-item-groups-v0/0.2.1+a4467d2a3a/fabric-item-groups-v0-0.2.1+a4467d2a3a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-loader/0.11.3/fabric-loader-0.11.3.jar as ModCandidate{fabricloader@0.11.3}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabricloader@0.11.3}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-loader/0.11.3/fabric-loader-0.11.3.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-events-interaction-v0/0.4.1+f8ac1db23a/fabric-events-interaction-v0-0.4.1+f8ac1db23a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-crash-report-info-v1/0.1.2+b7f9825d3a/fabric-crash-report-info-v1-0.1.2+b7f9825d3a.jar as ModCandidate{fabric-crash-report-info-v1@0.1.2+b7f9825d3a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-crash-report-info-v1@0.1.2+b7f9825d3a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-crash-report-info-v1/0.1.2+b7f9825d3a/fabric-crash-report-info-v1-0.1.2+b7f9825d3a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-screen-handler-api-v1/1.1.0+872498413a/fabric-screen-handler-api-v1-1.1.0+872498413a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-events-interaction-v0/0.4.1+f8ac1db23a/fabric-events-interaction-v0-0.4.1+f8ac1db23a.jar as ModCandidate{fabric-events-interaction-v0@0.4.1+f8ac1db23a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-events-interaction-v0@0.4.1+f8ac1db23a}
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-events-interaction-v0/0.4.1+f8ac1db23a/fabric-events-interaction-v0-0.4.1+f8ac1db23a.jar
[09:06:09] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-loot-tables-v1/1.0.1+432ea1883a/fabric-loot-tables-v1-1.0.1+432ea1883a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-registries-v1/2.2.0+f8ac1db23a/fabric-renderer-registries-v1-2.2.0+f8ac1db23a.jar as ModCandidate{fabric-renderer-registries-v1@2.2.0+f8ac1db23a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-renderer-registries-v1@2.2.0+f8ac1db23a}
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-registries-v1/2.2.0+f8ac1db23a/fabric-renderer-registries-v1-2.2.0+f8ac1db23a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-api-base/0.2.0+9f0fb4b83a/fabric-api-base-0.2.0+9f0fb4b83a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-screen-handler-api-v1/1.1.0+872498413a/fabric-screen-handler-api-v1-1.1.0+872498413a.jar as ModCandidate{fabric-screen-handler-api-v1@1.1.0+872498413a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-screen-handler-api-v1@1.1.0+872498413a}
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-screen-handler-api-v1/1.1.0+872498413a/fabric-screen-handler-api-v1-1.1.0+872498413a.jar
[09:06:09] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-object-builders-v0/0.7.1+a4467d2a3a/fabric-object-builders-v0-0.7.1+a4467d2a3a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-api-base/0.2.0+9f0fb4b83a/fabric-api-base-0.2.0+9f0fb4b83a.jar as ModCandidate{fabric-api-base@0.2.0+9f0fb4b83a}
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-tool-attribute-api-v1/1.2.4+2b4623793a/fabric-tool-attribute-api-v1-1.2.4+2b4623793a.jar
[09:06:09] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-api-base@0.2.0+9f0fb4b83a}
